step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
85;0,85;-116,2361869998;7794,94111493938;7678,70492793958;312,505308437711
86;0,86;-116,115723730194;7817,34453173745;7701,22880800726;313,403479004147
87;0,87;-115,874052738823;7786,70624618421;7670,83219344539;312,175166084827
88;0,88;-115,220546715686;7780,35294151561;7665,13239479992;311,920457113228
89;0,89;-114,162587490394;7779,77983290713;7665,61724541673;311,897480739215
90;0,9;-112,692552806986;7749,09563751635;7636,40308470937;310,667327258469
91;0,91;-110,80984414514;7767,83020056878;7657,02035642364;311,418410598139
92;0,92;-108,40077090813;7798,32751935966;7689,92674845153;312,641072049296
93;0,93;-105,927421408043;7813,97700640593;7708,04958499788;313,26847227005
94;0,94;-103,975324744455;7796,94002091407;7692,96469616962;312,585446147406
95;0,95;-102,344063052672;7788,81491843258;7686,47085537991;312,259704410602
96;0,96;-100,807010276569;7802,73601462697;7701,9290043504;312,817812085293
97;0,97;-98,8988297899752;7778,10015791531;7679,20132812533;311,830141250225
98;0,98;-95,7994324904879;7753,07380104238;7657,27436855189;310,826814957142
99;0,99;-91,2099180328041;7695,30791575268;7604,09799771987;308,510935268835
100;1;-85,7447127675904;7654,03568680131;7568,29097403372;306,856299210888
101;1,01;-81,1697259329683;7636,10837698815;7554,93865105518;306,137579287285
102;1,02;-79,6506647997316;7663,37756411576;7583,72689931603;307,230822405931
103;1,03;-81,6730473681426;7669,02413646073;7587,35108909259;307,45719792388
104;1,04;-86,1715777245842;7675,97961798144;7589,80804025686;307,736048638198
105;1,05;-91,7431206319641;7709,56859698034;7617,82547634838;309,08265717409
106;1,06;-97,3340950228602;7667,20777645555;7569,87368143269;307,384378625404
107;1,07;-102,174244797791;7633,46176423714;7531,28751943935;306,031474504468
108;1,08;-106,226410736327;7628,62043232896;7522,39402159263;305,837381707754
109;1,09;-109,782891667554;7567,04515944999;7457,26226778244;303,36878068057
110;1,1;-112,973994152836;7547,04894816952;7434,07495401668;302,567116873026
111;1,11;-115,808916503546;7532,50608399187;7416,69716748832;301,984082031788
112;1,12;-118,157328619408;7473,60347872473;7355,44615010532;299,622630347244
113;1,13;-119,976732978662;7462,77501059012;7342,79827761146;299,188508559226
114;1,14;-121,220158343467;7485,47901954014;7364,25886119667;300,098730101003
115;1,15;-122,03491099964;7511,95437991076;7389,91946891112;301,160148081796
116;1,16;-122,6002859345;7536,51169038625;7413,91140445175;302,144669936597
117;1,17;-122,873429068377;7511,7698848595;7388,89645579112;301,15275153036
118;1,18;-122,89823281573;7476,79330918971;7353,89507637398;299,750513154648
119;1,19;-122,741527049162;7448,28364294456;7325,5421158954;298,607538254386
120;1,2;-122,372180519744;7418,67387440036;7296,30169388061;297,420459389359
121;1,21;-121,683900920051;7418,57850020167;7296,89459928162;297,416635762863
122;1,22;-120,65816294131;7420,88801888004;7300,22985593873;297,509226179684
123;1,23;-119,271940889903;7416,22987723296;7296,95793634306;297,322477624345
124;1,24;-117,323448793484;7427,78812355557;7310,46467476209;297,785856792807
125;1,25;-114,7618640592;7421,97004211109;7307,20817805189;297,552605340421
126;1,26;-111,450350344004;7464,18989467883;7352,73954433483;299,245232373047
127;1,27;-107,706242261694;7416,74188409474;7309,03564183305;297,343004381367
128;1,28;-104,41335040791;7462,0896631014;7357,67631269349;299,161032440396
129;1,29;-102,543869197816;7480,31424959282;7377,77038039501;299,891670419397
130;1,3;-102,131289320154;7473,54183796959;7371,41054864943;299,620159120982
131;1,31;-103,188278159461;7453,91726533856;7350,7289871791;298,833394598635
132;1,32;-105,381370357664;7477,36028345653;7371,97891309886;299,773243598087
133;1,33;-107,946197985398;7487,38029415226;7379,43409616686;300,17495369273
134;1,34;-110,267017244968;7494,73471415763;7384,46769691266;300,46979816407
135;1,35;-111,737605154571;7476,04988650348;7364,3122813489;299,720708755559
136;1,36;-111,974783395098;7469,96747659055;7357,99269319545;299,476860167372
137;1,37;-110,82261901775;7523,25487392587;7412,43225490812;301,61319375791
138;1,38;-108,349115878108;7545,89017038457;7437,54105450646;302,52066056197
139;1,39;-104,972154165973;7547,3193177056;7442,34716353963;302,577956199971
140;1,4;-101,375565694874;7515,29344705753;7413,91788136266;301,294013904925
141;1,41;-98,5239069554031;7531,10739127383;7432,58348431843;301,928007342728
142;1,42;-97,1462387453372;7570,38734362055;7473,24110487521;303,50277146763
143;1,43;-97,3368949692668;7573,19971233855;7475,86281736929;303,615521537284
144;1,44;-99,0139581254041;7546,31658709206;7447,30262896665;302,537755942516
145;1,45;-101,868178010724;7575,94816599185;7474,07998798113;303,72570920182
146;1,46;-105,15017860772;7550,93362855867;7445,78344995095;302,722856759356
147;1,47;-108,333701416102;7506,17651912345;7397,84281770735;300,92850910713
148;1,48;-111,064799978185;7511,66787044203;7400,60307046384;301,148661692281
149;1,49;-113,271926277323;7516,12801077329;7402,85608449596;301,327472219434
150;1,5;-114,926792956658;7484,20152853303;7369,27473557637;300,047514483679
151;1,51;-116,006027022033;7498,99891510194;7382,9928880799;300,640753327386
152;1,52;-116,6872232741;7509,85730804503;7393,17008477093;301,076074824468
153;1,53;-117,143034676572;7539,01046766295;7421,86743298638;302,244847879196
154;1,54;-117,421948354165;7552,67753765019;7435,25558929603;302,792771443829
155;1,55;-117,314366111815;7588,73060567081;7471,41623955899;304,238167242947
156;1,56;-116,928479459963;7594,65881961642;7477,73034015646;304,475833993759
157;1,57;-116,364285123721;7592,80087304627;7476,43658792255;304,401347457247
158;1,58;-115,451775554135;7563,13261456517;7447,68083901104;303,211923684735
159;1,59;-114,048710122871;7593,92890884993;7479,88019872706;304,44657129814
160;1,6;-112,029576950423;7568,1432465677;7456,11366961727;303,412803855133
