step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
88;0,88;0;589201,964422057;589201,964422057;23621,5692856138
89;0,89;0;578020,354927368;578020,354927368;23173,289783249
90;0,9;0;566329,405867401;566329,405867401;22704,5904578734
91;0,91;0;555444,604284149;555444,604284149;22268,2102176766
92;0,92;0;544450,76075595;544450,76075595;21827,4584003073
93;0,93;0;533933,835239158;533933,835239158;21405,8266004028
94;0,94;0;523403,275804661;523403,275804661;20983,6482060347
95;0,95;0;513153,700041267;513153,700041267;20572,7346676173
96;0,96;0;503209,368913632;503209,368913632;20174,0586262688
97;0,97;0;493486,460138595;493486,460138595;19784,2595808557
98;0,98;201,891109760074;483873,945275708;484075,836385468;19398,8863140415
99;0,99;123,008334235848;474711,571878996;474834,580213232;19031,5595719737
100;1;87,2946039831784;465497,710194109;465585,004798092;18662,1686240139
101;1,01;70,6541263375628;456280,47191027;456351,126036608;18292,6423055515
102;1,02;56,329052585535;447787,330531105;447843,65958369;17952,1456004239
103;1,03;42,601257865096;439519,689119654;439562,290377519;17620,6893660226
104;1,04;32,335027415091;431263,208456791;431295,543484206;17289,6805747935
105;1,05;23,7526480653509;422773,182301869;422796,934949934;16949,3087614512
106;1,06;16,9298983751097;414525,282777962;414542,212676338;16618,6439948192
107;1,07;12,1785579056617;406536,910768435;406549,08932634;16298,3838899714
108;1,08;8,76125590062052;398856,685560655;398865,446816556;15990,4776323053
109;1,09;6,12621377835453;390970,146238216;390976,272451995;15674,3000798231
110;1,1;4,3599373514511;383140,385318328;383144,74525568;15360,3988180709
111;1,11;3,42786711702266;375724,432295869;375727,860162986;15063,0874397718
112;1,12;2,47122878745182;368341,914035218;368344,385264006;14767,1164873203
113;1,13;1,68946560907939;361398,019556222;361399,709021832;14488,7303066013
114;1,14;1,3900719268141;354180,482889464;354181,872961391;14199,3735957619
115;1,15;1,25547673633458;347374,145965078;347375,401441815;13926,5022053919
116;1,16;1,24818648997132;340681,840825456;340683,089011946;13658,2024387896
117;1,17;1,30681611233618;334211,979768735;334213,286584847;13398,8206300926
118;1,18;1,41902193697219;327708,332804551;327709,751826488;13138,0843178429
119;1,19;1,42091316111514;321064,053981395;321065,474894556;12871,7099639691
120;1,2;1,42817376526341;314928,291315636;314929,719489401;12625,7224220378
121;1,21;1,35517180896642;308929,937113885;308931,292285694;12385,2436932961
122;1,22;1,41232561272418;302838,280574367;302839,69289998;12141,0244005896
123;1,23;1,31178062701909;296776,367610367;296777,679390994;11897,9975511749
124;1,24;1,09939150673592;291144,630100737;291145,729492244;11672,2167734197
125;1,25;0,824790931275168;285241,456181774;285242,280972705;11435,5538969328
126;1,26;0,490411705898312;279781,35004323;279781,840454936;11216,6539555775
127;1,27;0,163063365682415;274393,030177307;274393,193240672;11000,6319822448
128;1,28;0;269211,896543688;269211,896543688;10792,9162676094
129;1,29;0;263854,176852889;263854,176852889;10578,1210793189
130;1,3;0;258794,193500611;258794,193500611;10375,2623745672
131;1,31;0;253829,960976804;253829,960976804;10176,2423956945
132;1,32;0;249288,834017386;249288,834017386;9994,18505104208
133;1,33;0;244473,739573225;244473,739573225;9801,14413485794
134;1,34;0;239692,755171524;239692,755171524;9609,47071705293
135;1,35;0;235001,668101084;235001,668101084;9421,4013538288
136;1,36;0,0184463857205109;230621,991624749;230622,010071135;9245,81668578414
137;1,37;0,0520660775497187;226299,088634977;226299,140701055;9072,50811138376
138;1,38;0,0655449028306679;221668,273739781;221668,339284684;8886,85510697972
139;1,39;0,0265478781689743;217469,150662439;217469,177210317;8718,50896643766
140;1,4;0;213416,805642426;213416,805642426;8556,04727343679
141;1,41;0;209263,00876663;209263,00876663;8389,51829589639
142;1,42;0;205170,771713486;205170,771713486;8225,45729997151
143;1,43;0;201187,39739168;201187,39739168;8065,7606964047
144;1,44;0;197246,59676484;197246,59676484;7907,77090569009
145;1,45;0;193691,931631789;193691,931631789;7765,26159004331
146;1,46;0;190070,979668672;190070,979668672;7620,09478334311
147;1,47;9984,52265181388;384457,688760231;394442,211412045;15413,2105471588
148;1,48;89,122913421876;964730,659803752;964819,782717174;38676,8094788401
149;1,49;36,1716957335225;946391,575152876;946427,74684861;37941,5811787438
150;1,5;26,7444290575161;927601,881918661;927628,626347718;37188,2876268073
151;1,51;23,4793873081908;909919,94642612;909943,425813429;36479,4049523402
152;1,52;19,2261363616388;892116,423705677;892135,649842038;35765,6477504587
153;1,53;14,4705735455656;874585,157775679;874599,628349225;35062,8055370317
154;1,54;10,4581831348053;857575,314250048;857585,772433183;34380,8675571197
155;1,55;7,90616815074483;840444,174256111;840452,080424262;33694,0667065739
156;1,56;6,21335093769199;823936,06224676;823942,275597698;33032,243537016
157;1,57;5,38447573195436;807943,422518654;807948,806994386;32391,0860558663
158;1,58;6,19874392697799;792217,120525811;792223,319269737;31760,6062636021
159;1,59;7,46883610328156;775976,049182116;775983,518018219;31109,4889639611
160;1,6;8,83491463605307;760915,292912562;760924,127827198;30505,6914222065
161;1,61;10,7274905356833;745806,511213663;745817,238704199;29899,9685032888
162;1,62;12,530241435893;730892,979862727;730905,510104163;29302,0733240953
163;1,63;13,4343275470574;717151,442005649;717164,876333196;28751,1642841021
164;1,64;12,9340472499585;703468,55846352;703481,49251077;28202,6067416397
165;1,65;11,7475122091467;690021,259046338;690033,006558547;27663,4939516833
166;1,66;10,5018510815932;676579,966060884;676590,467911966;27124,6219642901
167;1,67;8,95296805578928;663450,322768298;663459,275736354;26598,2442577333
168;1,68;7,1908416345624;650444,394516252;650451,585357886;26076,8263842699
169;1,69;5,4203973645034;637672,383438392;637677,803835757;25564,7864339479
170;1,7;4,29942882855404;625282,712854874;625287,012283702;25068,0748141868
171;1,71;3,49952797401849;613418,0172002;613421,516728174;24592,4098514358
172;1,72;3,09268831020297;601222,048134551;601225,140822861;24103,4638775845
173;1,73;3,18859259654733;589473,259907942;589476,448500538;23632,4457346137
174;1,74;3,54789517900003;577650,054204891;577653,60210007;23158,4441365935
175;1,75;3,79552331180936;566609,258188642;566613,053711954;22715,80995712
