step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
84;0,84;-110,054716741255;7713,10460973784;7603,04989299659;309,224418701359
85;0,85;-110,086754675553;7794,8601516291;7684,77339695355;312,502062555044
86;0,86;-110,02110357145;7817,23769126979;7707,21658769834;313,399195685927
87;0,87;-109,809701834755;7786,60300006963;7676,79329823488;312,171026867044
88;0,88;-109,162812314898;7780,25472835711;7671,09191604221;311,916519670605
89;0,89;-108,110169618551;7779,71890735503;7671,60873773648;311,895038186004
90;0,9;-106,618366590748;7749,11162290706;7642,49325631632;310,667968125331
91;0,91;-104,719940791139;7767,88970398416;7663,16976319302;311,420796136773
92;0,92;-102,281222114842;7798,46838882792;7696,18716671308;312,646719616863
93;0,93;-99,6640709042559;7814,04617112482;7714,38210022056;313,271245137926
94;0,94;-97,5525180366251;7796,90528454467;7699,35276650805;312,584053539088
95;0,95;-95,8221649938271;7788,64626438442;7692,8240993906;312,252942937415
96;0,96;-94,2592037219843;7802,54744164961;7708,28823792762;312,810252046598
97;0,97;-92,2920872923619;7778,03661454726;7685,7445272549;311,827593746717
98;0,98;-89,2680364389901;7753,10321510479;7663,8351786658;310,827994189995
99;0,99;-84,7597491886705;7695,41092854427;7610,6511793556;308,515065132517
100;1;-79,3499706603245;7654,09752855392;7574,7475578936;306,858778495296
101;1,01;-74,6824827883568;7636,16140763093;7561,47892484258;306,139705327384
102;1,02;-72,9001900726433;7663,12608147689;7590,22589140425;307,220740269521
103;1,03;-74,5935694411364;7668,49072277745;7593,89715333632;307,43581295058
104;1,04;-78,7340301683405;7675,29908293127;7596,56505276293;307,708765453806
105;1,05;-85,4884418787851;7708,70106285732;7623,21262097853;309,047877050072
106;1,06;-91,0316942775599;7666,25101774871;7575,21932347115;307,346021417777
107;1,07;-95,8284898581563;7632,52855633494;7536,70006647678;305,994061467087
108;1,08;-99,8280394037485;7627,67419739887;7527,84615799512;305,799446406599
109;1,09;-103,377046705535;7566,15254799808;7462,77550129255;303,332995186751
110;1,1;-106,651532207569;7546,19927997946;7439,54774777189;302,533053008285
111;1,11;-109,471078798122;7531,68838400981;7422,21730521169;301,951299797601
112;1,12;-111,860942464508;7472,75283130931;7360,8918888448;299,58852722459
113;1,13;-113,727159953413;7461,96288323293;7348,23572327952;299,155949735945
