step;time_ps;total_force_error_percent;total_potential_energy_error_kJ_mol
0;0;0,162698977288028;5,95973207948197
20;0,2;0,142840250696492;5,97752176247101
40;0,4;0,0942609982823814;6,14017031972094
60;0,6;0,25276056017369;6,05050239518974
80;0,8;0,283168630751577;5,9165602200395
100;1;0,0712261397421487;5,89366419552388
120;1,2;0,479114913335067;5,88306026933995
140;1,4;0,0933975174220135;5,92827140705883
160;1,6;0,129851021716801;5,98084417371732
180;1,8;0,174921380916949;5,9147890038796
200;2;0,263255819965581;5,8417483696122
220;2,2;0,107423532047735;5,77646735770485
240;2,4;0,136443359369134;5,80440003340817
260;2,6;0,234328840835571;5,7329673537796
280;2,8;0,0983016286317646;5,78024894426053
300;3;0,204054056466308;5,85828736565223
320;3,2;0,193290522049028;5,8696961987152
340;3,4;0,175605044099918;5,9365798606739
360;3,6;0,174232678919117;5,83379638599357
380;3,8;0,134917895750553;5,86279132134973
400;4;0,143181910873301;5,91490522586373
420;4,2;0,242077659483275;5,90376596217067
440;4,4;0,15380992542033;5,9805889364452
460;4,6;0,242050801451269;6,02564803324631
480;4,8;0,159978872298455;6,14778188378901
500;5;0,137212794272874;6,06295574554451
520;5,2;0,175911428209279;6,00100998843169
540;5,4;0,137821979992573;5,99538521262865
560;5,6;0,127691331986345;6,00702768481752
580;5,8;0,277004829331092;6,15965864858067
600;6;0,133340500645048;6,12375577846829
620;6,2;0,173073211536027;6,08378715639995
640;6,4;0,080895194316309;6,03481126149457
660;6,6;0,238336225286933;6,0807149331966
680;6,8;0,17639465657389;5,9859233938584
700;7;0,237983748167817;6,06825431818379
720;7,2;0,105920767845308;6,0183534478128
740;7,4;0,125635765844784;6,04516127248398
760;7,6;0,121835372939035;6,0761443804074
780;7,8;0,242740104513896;6,00432242056192
800;8;0,264010975632551;6,02927056652339
820;8,2;0,165291534519484;6,01526691421189
840;8,4;0,111972612372011;6,02178610528583
860;8,6;0,135939498586305;5,97981740390281
880;8,8;0,139724193859078;5,97722318290371
900;9;0,114582183313875;6,13375271900162
920;9,2;0,189373541229738;6,13836674119837
940;9,4;0,137328433294613;6,20459363387543
960;9,6;0,155523257624549;6,31627838556702
980;9,8;0,158793428633665;6,15266873771552
1000;10;0,116331514009369;6,15288164296078
1020;10,2;0,185218855281651;6,12035625964776
1040;10,4;0,113168403334937;6,08195272929581
1060;10,6;0,105148557401985;6,05139749628975
1080;10,8;0,200590892429644;6,08818301559137
1100;11;0,104501648490216;6,11001594126361
1120;11,2;0,116562704438103;6,15520351501732
1140;11,4;0,134958160921061;6,21215880622023
1160;11,6;0,154321636913802;6,12388087537684
1180;11,8;0,108309294025047;6,05527547650102
1200;12;0,11344270940511;6,07764863365175
1220;12,2;0,220709737817794;6,005976110936
1240;12,4;0,183030626699845;6,12162007965992
1260;12,6;0,244449002709413;6,06729144652464
1280;12,8;0,154701024544481;6,15551809926319
1300;13;0,156990934947285;6,05191522464395
1320;13,2;0,100068209979178;6,09450365751815
1340;13,4;0,180932675865558;6,0523504677394
1360;13,6;0,202464725158589;6,05775493671962
1380;13,8;0,0841915906795554;5,99334889657366
1400;14;0,144839267693561;5,94703572312967
1420;14,2;0,125030186252016;6,0816917836091
1440;14,4;0,175888999546328;6,11517118504371
1460;14,6;0,157645204226459;6,09527831036786
1480;14,8;0,137722534394684;6,16507304475149
1500;15;0,102246708530189;6,21265321975031
1520;15,2;0,114879008281863;6,09375792349422
1540;15,4;0,211149693263403;6,17273035651746
1560;15,6;0,221830774054325;6,06912332122272
1580;15,8;0,0494155928203281;6,06369944959512
1600;16;0,166503518118121;6,00270968870836
1620;16,2;0,15719660178485;6,02314400401031
1640;16,4;0,144240563537569;6,05847463571607
1660;16,6;0,133752297091908;6,11933980357531
1680;16,8;0,1155431927813;6,13252814386084
1700;17;0,179769587046787;5,95551747331399
1720;17,2;0,0824849427683572;5,92011138574615
1740;17,4;0,147206633519334;6,00452376720176
1760;17,6;0,0944387090805996;6,01000777359556
1780;17,8;0,153595848769452;6,04282781113136
1800;18;0,093674285356278;6,03883076362054
1820;18,2;0,0694588234882777;6,02397641570164
1840;18,4;0,227100453265787;5,95550121622153
1860;18,6;0,0949869852644181;6,12142926778544
